zip,Zipcode name,City,State,County Name
98258,"LAKE STEVENS, WA",LAKE STEVENS,WA,SNOHOMISH
98349,"LAKEBAY, WA",LAKEBAY,WA,PIERCE
98439,"LAKEWOOD, WA",LAKEWOOD,WA,PIERCE
98496,"LAKEWOOD, WA",LAKEWOOD,WA,PIERCE
98497,"LAKEWOOD, WA",LAKEWOOD,WA,PIERCE
98498,"LAKEWOOD, WA",LAKEWOOD,WA,PIERCE
98499,"LAKEWOOD, WA",LAKEWOOD,WA,PIERCE
99144,"LAMONA, WA",LAMONA,WA,LINCOLN
99017,"LAMONT, WA",LAMONT,WA,WHITMAN
98260,"LANGLEY, WA",LANGLEY,WA,ISLAND
99018,"LATAH, WA",LATAH,WA,SPOKANE
98826,"LEAVENWORTH, WA",LEAVENWORTH,WA,CHELAN
98554,"LEBAM, WA",LEBAM,WA,PACIFIC
99019,"LIBERTY LAKE, WA",LIBERTY LAKE,WA,SPOKANE
98555,"LILLIWAUP, WA",LILLIWAUP,WA,MASON
99147,"LINCOLN, WA",LINCOLN,WA,LINCOLN
99341,"LIND, WA",LIND,WA,ADAMS
98556,"LITTLEROCK, WA",LITTLEROCK,WA,THURSTON
98631,"LONG BEACH, WA",LONG BEACH,WA,PACIFIC
98351,"LONGBRANCH, WA",LONGBRANCH,WA,PIERCE
98397,"LONGMIRE, WA",LONGMIRE,WA,PIERCE
98632,"LONGVIEW, WA",LONGVIEW,WA,COWLITZ
98827,"LOOMIS, WA",LOOMIS,WA,OKANOGAN
99148,"LOON LAKE, WA",LOON LAKE,WA,STEVENS
98261,"LOPEZ ISLAND, WA",LOPEZ ISLAND,WA,SAN JUAN
98262,"LUMMI ISLAND, WA",LUMMI ISLAND,WA,WHATCOM
98635,"LYLE, WA",LYLE,WA,KLICKITAT
98263,"LYMAN, WA",LYMAN,WA,SKAGIT
98264,"LYNDEN, WA",LYNDEN,WA,WHATCOM
98036,"LYNNWOOD, WA",LYNNWOOD,WA,SNOHOMISH
98037,"LYNNWOOD, WA",LYNNWOOD,WA,SNOHOMISH
98046,"LYNNWOOD, WA",LYNNWOOD,WA,SNOHOMISH
